Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d
1740615582.5623705,24.98,109192,31.746799242484762,0,1,1
1740615583.574102,24.979609375,109192,31.73557227505903,0,1,1
1740615584.586008,24.98,109620,31.741203017332168,0,1,1
1740615585.5977273,24.9801953125,108696,31.746816614184,0,1,1
1740615586.6098957,24.981171875,109406,31.75249992962921,0,1,1
1740615587.6216753,24.9825390625,110197,31.76381514805344,0,0,0
1740615588.633461,24.9837109375,110343,31.791907274567308,0,0,0
1740615589.6452498,24.9848828125,110197,31.792011631723437,0,0,0
1740615590.6570544,24.9868359375,111518,31.825778351495508,0,0,0
1740615591.668931,24.9868359375,111370,31.842577661210676,0,0,0
1740615592.680721,24.9868359375,111816,31.853778280838206,0,0,0
1740615593.692479,24.9864453125,111965,31.836942847961616,0,0,0
1740615594.7043104,24.985859375,112416,31.831290850004674,0,0,0
1740615595.7154236,24.9848828125,112719,31.814405858061836,0,0,0
1740615596.7271318,24.985859375,112115,31.82569130882293,0,0,0
1740615597.7389424,24.9868359375,113023,31.825778351495508,0,0,0
1740615598.750914,24.9880078125,112643,31.814684313225698,0,0,0
1740615599.7626946,24.9883984375,112795,31.80912019427499,0,0,0
1740615600.7744634,24.9880078125,113868,31.814684313225698,0,0,0
1740615601.7861242,24.989375,112947,31.81480614014097,0,0,0
1740615602.797708,24.990546875,113099,31.82050973506312,0,0,0
1740615603.8094692,24.9909375,114179,31.831743547688788,0,0,0
1740615604.8210015,24.992109375,114101,31.871051426578713,0,0,0
1740615605.8327258,24.9926953125,114648,31.882306649009298,0,0,0
1740615606.8443468,24.9926953125,114101,31.865502574404335,0,0,0
1740615607.856087,24.993671875,115677,31.876792238404676,0,0,0
1740615608.8677404,24.995234375,114256,31.876931701898844,0,0,0
1740615609.879524,24.996796875,114726,31.877071167607447,0,0,0
1740615610.891217,24.99875,115120,31.86044183880952,0,0,0
